rank,name,age,country,track,date,minutes,seconds
167,Sandrine Tas                     ,LSA,BEL,Inzell (GER)             ,6-Oct-19,2,433
167,Yueyue Wang                      ,LN4,CHN,Hailar (CHN)             ,27-Oct-19,2,433
169,Ineke Dedden                     ,LSA,NED,Heerenveen (NED)         ,1-Dec-19,2,436
170,Anna Suzuki                      ,LN2,JPN,Nagano (JPN)             ,27-Dec-19,2,437
171,Famke Minnee                     ,LA1,NED,Heerenveen (NED)         ,8-Dec-19,2,439
172,Chae-Weon Park                   ,LB2,KOR,Enschede (NED)           ,24-Nov-19,2,44
173,Marit Fjellanger Bøhm            ,L30,NOR,Stavanger (NOR)          ,26-Oct-19,2,444
174,Sijia Chen (2005)                ,LC2,CHN,Calgary (CAN)            ,25-Aug-19,2,445
175,Soo-Min Kang                     ,LB1,KOR,Minsk (BLR)              ,16-Feb-20,2,447
176,Towako Nagasaki                  ,LA2,JPN,Obihiro (JPN)            ,8-Sep-19,2,459
177,Irina Arshinova                  ,L30,RUS,Kolomna (RUS)            ,2-Nov-19,2,461
178,Eline van Voorden                ,LA2,NED,Heerenveen (NED)         ,28-Sep-19,2,466
179,Yeugeniya Vorobyova              ,LN3,BLR,Inzell (GER)             ,13-Oct-19,2,472
180,Kyouko Nitta                     ,LN3,JPN,Obihiro (JPN)            ,17-Nov-19,2,473
180,Maki Tabata                      ,L45,JPN,Nagano (JPN)             ,27-Dec-19,2,473
182,Lilan Jin                        ,LN3,CHN,Hailar (CHN)             ,27-Oct-19,2,476
183,Tsukushi Takigami                ,L? ,JPN,Obihiro (JPN)            ,8-Sep-19,2,48
183,Jamie Jurak                      ,LSA,USA,Salt Lake City (USA)     ,7-Mar-20,2,48
185,Véronique Déry                   ,LN2,CAN,Calgary (CAN)            ,3-Jan-20,2,481
186,Dieuwertje van Kalken            ,LN2,NED,Heerenveen (NED)         ,5-Oct-19,2,485
187,Ramona Härdi                     ,LN4,SUI,Salt Lake City (USA)     ,7-Mar-20,2,492
188,Mariya Myagkova                  ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,497
189,Manami Momose                    ,LA2,JPN,Nagano (JPN)             ,7-Feb-20,2,501
190,Sol Lee                          ,LB1,KOR,Calgary (CAN)            ,21-Sep-19,2,502
190,Alison Desmarais                 ,LN4,CAN,Calgary (CAN)            ,1-Feb-20,2,502
192,Sishan Li                        ,LN4,CHN,Hailar (CHN)             ,27-Oct-19,2,504
193,Karin Suzuki                     ,L? ,JPN,Nagano (JPN)             ,3-Feb-20,2,505
194,Olga Kaczmarek                   ,LN1,POL,Inzell (GER)             ,13-Oct-19,2,507
195,Akari Yazawa                     ,L? ,JPN,Nagano (JPN)             ,18-Dec-19,2,51
196,Hyun-Yung Kim                    ,LSA,KOR,Calgary (CAN)            ,14-Sep-19,2,511
197,Meghan Wystrichowski             ,LA1,GER,Erfurt (GER)             ,31-Jan-20,2,512
197,Jildou Schaaf                    ,LB1,NED,Heerenveen (NED)         ,29-Feb-20,2,512
199,Kokoro Morino                    ,L? ,JPN,Obihiro (JPN)            ,25-Jan-20,2,513
200,Kotone Fukuda                    ,LA1,JPN,Obihiro (JPN)            ,17-Nov-19,2,514
200,Sandra Dekker                    ,LN2,NED,Heerenveen (NED)         ,30-Nov-19,2,514
202,Ane By Farstad                   ,LN1,NOR,Inzell (GER)             ,5-Jan-20,2,515
203,Linda Rossi                      ,LN3,ITA,Minsk (BLR)              ,16-Feb-20,2,517
203,Lyudmila Mitrofanova             ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,517
205,Jingyi Wang                      ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,519
206,Alexandra Ianculescu             ,LSA,ROU,Calgary (CAN)            ,3-Jan-20,2,52
207,Sanne Westra                     ,LB2,NED,Heerenveen (NED)         ,9-Mar-20,2,521
208,Aleksandra Kravchenko            ,LA1,RUS,Moscow (RUS)             ,5-Nov-19,2,523
208,Sana Fujii                       ,LA2,JPN,Nagano (JPN)             ,7-Feb-20,2,523
210,Chrysta Rands                    ,LN4,USA,Salt Lake City (USA)     ,29-Dec-19,2,524
211,Camilla Lund                     ,LSA,NOR,Stavanger (NOR)          ,22-Feb-20,2,527
212,Valeriya Sorokoletova            ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,528
213,Emmanuelle Côté                  ,LA2,CAN,Calgary (CAN)            ,3-Jan-20,2,53
214,Alisa Bekker                     ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,533
215,Hilde Noppert                    ,LA2,NED,Heerenveen (NED)         ,10-Feb-20,2,535
216,Yining Zhao                      ,LN2,CHN,Changchun (CHN)          ,22-Sep-19,2,539
217,Natalia Jabrzyk                  ,LA2,POL,Enschede (NED)           ,24-Nov-19,2,54
218,Raluca Doina Ştef                ,LSA,ROU,Inzell (GER)             ,8-Feb-20,2,542
218,Sophie Kraaijeveld               ,LB1,NED,Heerenveen (NED)         ,29-Feb-20,2,542
