rank,name,age,country,track,date,minutes,seconds
1593,Veera Lehtonen                   ,LB1,FIN,Heerenveen (NED)         ,29-Feb-20,2,2657
1594,Sieta van Leeuwe                 ,LSA,NED,Utrecht (NED)            ,26-Jan-20,2,2664
1594,Julia Mańkowska                  ,LB2,POL,Tomaszów-Mazowiecki (POL),31-Jan-20,2,2664
1596,Tannika Oussoren                 ,LC1,NED,Hoorn (NED)              ,7-Mar-20,2,2672
1597,Darya Kazakova                   ,LB1,KAZ,Nur-Sultan (KAZ)         ,4-Feb-20,2,2673
1598,Megu Akiyama                     ,L? ,JPN,Obihiro (JPN)            ,8-Sep-19,2,2674
1598,Yuna Yamaguchi (20130547)        ,L? ,JPN,Ikaho (JPN)              ,26-Dec-19,2,2674
1600,Rianne Tiben                     ,LC2,NED,Dronten (NED)            ,21-Dec-19,2,2675
1601,Mariya Borodina                  ,LB1,RUS,Chelyabinsk (RUS)        ,4-Mar-20,2,2676
1602,Sandra Bockje                    ,LSA,GER,Berlin (GER)             ,22-Feb-20,2,2677
1603,Laura Altenhof                   ,LB1,GER,Inzell (GER)             ,10-Nov-19,2,2678
1604,Mai Ijiro                        ,L? ,JPN,Tomakomai (JPN)          ,14-Dec-19,2,2682
1604,Karolin Palmertz Cerne           ,L50,SWE,Collalbo (ITA)           ,24-Jan-20,2,2682
1604,Anouk van Slooten-Rademaker      ,L30,NED,Heerenveen (NED)         ,22-Feb-20,2,2682
1607,Melissa Wenneker                 ,LB1,NED,Leeuwarden (NED)         ,9-Nov-19,2,2684
1608,Ewelina Kozerska                 ,LB1,POL,Tomaszów-Mazowiecki (POL),31-Jan-20,2,2686
1609,Roos Karst                       ,LSA,NED,Groningen (NED)          ,8-Feb-20,2,2687
1610,Kalle Ordelman                   ,LA1,NED,Enschede (NED)           ,8-Mar-20,2,2688
1611,Linda van Oosterom-Garritsen     ,L35,NED,Heerenveen (NED)         ,20-Oct-19,2,269
1611,Erna Molleman                    ,L35,NED,Den Haag (NED)           ,27-Oct-19,2,269
1611,Charlene Schreuder               ,LA1,NED,Deventer (NED)           ,23-Nov-19,2,269
1614,Milana Krylova                   ,LC1,KAZ,Saint Petersburg (RUS)   ,28-Jan-20,2,2691
1615,Olga Khoroshenina                ,LB1,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,2694
1615,Anna Jochemsen                   ,LC1,NED,Enschede (NED)           ,22-Feb-20,2,2694
1617,Nora de Graaf                    ,LYA,NED,Heerenveen (NED)         ,11-Dec-19,2,27
1617,Tessa Timmerman                  ,LN1,NED,Inzell (GER)             ,29-Dec-19,2,27
1619,Lilla Malinovszky                ,LA1,HUN,Collalbo (ITA)           ,12-Jan-20,2,2701
1620,Lisa van Heel                    ,LC2,NED,Breda (NED)              ,8-Dec-19,2,2702
1621,Nienke Schuur                    ,LN2,NED,Groningen (NED)          ,15-Feb-20,2,2703
1622,Bodine Vollering                 ,LB1,NED,Den Haag (NED)           ,21-Dec-19,2,2704
1622,Anastasiya Voronkova             ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,2704
1624,Anastasiya Shakhova              ,LC1,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,2706
1625,Sandra Könst                     ,L45,NED,Haarlem (NED)            ,29-Feb-20,2,2707
1626,Darya Vyalykh                    ,LB1,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,2709
1627,Aranka Keur                      ,L35,NED,Haarlem (NED)            ,29-Feb-20,2,271
1628,Lee-Won Lim                      ,LYA,KOR,Seoul (KOR)              ,1-Dec-19,2,2712
1628,Aleksandra Manujlova             ,LB2,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,2712
1628,Aryna Polazava                   ,LC1,BLR,Minsk (BLR)              ,7-Mar-20,2,2712
1631,Iris Kleiweg                     ,LC2,NED,Den Haag (NED)           ,2-Feb-20,2,2717
1632,Sonia Bianchi                    ,LA2,ITA,Collalbo (ITA)           ,8-Feb-20,2,2719
1632,Sarah Veenhuis                   ,LC2,NED,Inzell (GER)             ,15-Feb-20,2,2719
1634,Jana Lunze                       ,LB1,GER,Erfurt (GER)             ,30-Nov-19,2,2728
1634,Janette Pirhonen                 ,LC2,FIN,Heerenveen (NED)         ,29-Feb-20,2,2728
1636,Mariya Koppel                    ,L? ,KAZ,Nur-Sultan (KAZ)         ,19-Dec-19,2,2731
1637,Isa Groenewoud                   ,LA2,NED,Enschede (NED)           ,4-Jan-20,2,2732
1638,Sanne Roos                       ,LB1,NED,Haarlem (NED)            ,29-Feb-20,2,2741
1639,Kiek Straathof                   ,LC1,NED,Heerenveen (NED)         ,11-Dec-19,2,2742
1640,Eke van der Meulen               ,LC1,NED,Leeuwarden (NED)         ,19-Jan-20,2,2745
1641,Kyu-Eun Jung                     ,LYB,KOR,Seoul (KOR)              ,1-Dec-19,2,2746
1642,Sherise Gratton                  ,LC2,CAN,Calgary (CAN)            ,3-Jan-20,2,2749
1642,Asuka Miyazawa                   ,L? ,JPN,Karuizawa (JPN)          ,18-Jan-20,2,2749
1644,Anastasiya Ageeva                ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,275
1645,Karolina Bąkowska                ,LB1,POL,Tomaszów-Mazowiecki (POL),14-Dec-19,2,2751
1646,Ellen van Kernebeek              ,LA1,NED,Deventer (NED)           ,11-Mar-20,2,2757
1647,Shiqi Guan                       ,LB2,CHN,Changchun (CHN)          ,22-Sep-19,2,2758
1648,Sawako Mouri                     ,L? ,JPN,Hachinohe-Nagane (JPN)   ,28-Dec-19,2,2759
1649,Iris Daman                       ,LB2,NED,Alkmaar (NED)            ,26-Jan-20,2,2761
1649,Viktoriya Grinevskaya            ,L? ,RUS,Moscow (RUS)             ,11-Feb-20,2,2761
1651,Hye-Seo Kim                      ,LA1,KOR,Seoul (KOR)              ,8-Nov-19,2,2763
1651,Eva Baslerova                    ,L? ,KAZ,Nur-Sultan (KAZ)         ,19-Dec-19,2,2763
1653,Nikita Fredrikze                 ,LA1,NED,Heerenveen (NED)         ,11-Dec-19,2,2767
1654,Lysanne Leistra                  ,LA1,NED,Heerenveen (NED)         ,10-Nov-19,2,2774
1655,Anouk de Graaf (1999)            ,LN2,NED,Enschede (NED)           ,7-Dec-19,2,2776
1656,Yuki Komura                      ,L? ,JPN,Tomakomai (JPN)          ,30-Nov-19,2,2784
1657,Marie Jeanne van Wonderen        ,LB2,NED,Eindhoven (NED)          ,8-Dec-19,2,2786
1658,Ciska Stark                      ,L55,NED,Leeuwarden (NED)         ,21-Dec-19,2,2787
1659,Anke Breunis                     ,LN2,NED,Deventer (NED)           ,23-Nov-19,2,2789
1659,Aleksandra Śmieszek              ,LC2,POL,Inzell (GER)             ,15-Feb-20,2,2789
1661,Ikumi Terashima                  ,L? ,JPN,Akan (JPN)               ,18-Jan-20,2,279
1662,Erika Broklová                   ,LA1,CZE,Tomaszów-Mazowiecki (POL),19-Oct-19,2,2791
1662,Alina Babkina (2004)             ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,2791
1664,Ingrid Håkegård Eichler          ,LC2,NOR,Bjugn (NOR)              ,15-Feb-20,2,2792
1665,Julia Espin                      ,LC1,ESP,Zakopane (POL)           ,20-Dec-19,2,2794
1666,Kendra Hawkins                   ,LB1,CAN,Calgary (CAN)            ,21-Dec-19,2,2796
1667,Hao Liu (2)                      ,L? ,CHN,Harbin (CHN)             ,4-Jan-20,2,2797
1668,Sofia Sella                      ,LB1,ITA,Collalbo (ITA)           ,11-Jan-20,2,2798
1669,Nerena van Vuuren                ,LA1,NED,Den Haag (NED)           ,20-Oct-19,2,2799
1669,Elizaveta Popova (2004)          ,LC2,RUS,Chelyabinsk (RUS)        ,29-Nov-19,2,2799
1669,Nastasja Radulovic               ,LC1,USA,Milwaukee (USA)          ,21-Dec-19,2,2799
1672,Renate Jeppsson                  ,L45,NOR,Innsbruck (AUT)          ,17-Jan-20,2,28
1673,Saki Yoshida                     ,L? ,JPN,Obihiro (JPN)            ,18-Jan-20,2,2802
1674,Anon Hyougo                      ,L? ,JPN,Obihiro (JPN)            ,12-Oct-19,2,2804
1675,Karina Kovalenko                 ,LC2,KAZ,Chelyabinsk (RUS)        ,11-Mar-20,2,2805
1676,Anne Murk                        ,LC1,NED,Heerenveen (NED)         ,2-Mar-20,2,2809
1677,Yuliya Lobareva                  ,LB2,RUS,Chelyabinsk (RUS)        ,22-Aug-19,2,281
1677,Hyo-Yun Park                     ,LC1,KOR,Seoul (KOR)              ,16-Oct-19,2,281
1679,Yuxin Chen (2005)                ,LC2,CHN,Changchun (CHN)          ,22-Sep-19,2,2813
1679,Carolien Kamphuis                ,L30,NED,Enschede (NED)           ,4-Jan-20,2,2813
1681,Chengcheng Liu                   ,L? ,CHN,Harbin (CHN)             ,7-Dec-19,2,2815
1682,Yutong He                        ,L? ,CHN,Harbin (CHN)             ,7-Dec-19,2,2818
1682,Elizaveta Tarasenko              ,LC1,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,2818
1684,Margarita Kulikova               ,LC2,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,282
1685,Ilona Gurkovich                  ,LB1,RUS,Chelyabinsk (RUS)        ,11-Mar-20,2,2822
1686,Esther Pletting                  ,LSA,NED,Haarlem (NED)            ,10-Nov-19,2,2823
1687,Nikola Dudziak                   ,LA2,POL,Tomaszów-Mazowiecki (POL),31-Jan-20,2,2825
1688,Femke Berends                    ,LA1,NED,Heerenveen (NED)         ,23-Nov-19,2,2828
1688,Hye-Min Lee                      ,LC1,KOR,Seoul (KOR)              ,1-Dec-19,2,2828
1688,Femke Slagman                    ,LC1,NED,Heerenveen (NED)         ,16-Dec-19,2,2828
1691,Varvara Nesterova                ,LC2,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,2831
1692,Tina Hemeltjen                   ,LC1,GER,Inzell (GER)             ,24-Nov-19,2,2832
1693,Polina Fadejcheva                ,LB1,RUS,Saint Petersburg (RUS)   ,28-Jan-20,2,2834
1694,Yasmina Mukhametshina            ,LB1,RUS,Kolomna (RUS)            ,5-Nov-19,2,2836
1695,Mariya Semerikova                ,LC2,RUS,Kolomna (RUS)            ,5-Nov-19,2,2838
1695,Olga Luzgina                     ,L35,RUS,Kolomna (RUS)            ,7-Mar-20,2,2838
1697,Noor van der Ster                ,L60,NED,Enschede (NED)           ,8-Dec-19,2,2839
1698,Hanna Takashima                  ,L? ,JPN,Hachinohe-Nagane (JPN)   ,30-Nov-19,2,2841
1699,Marlies de Jong                  ,L55,NED,Leeuwarden (NED)         ,25-Jan-20,2,2842
1699,Elizaveta Vodneva                ,LB1,KAZ,Nur-Sultan (KAZ)         ,4-Feb-20,2,2842
1701,Lieke Speijers                   ,LB1,NED,Den Haag (NED)           ,1-Mar-20,2,2852
1701,Saline Verkerk                   ,LA1,NED,Heerenveen (NED)         ,2-Mar-20,2,2852
1703,Siyi Wang (2004)                 ,LC2,CHN,Harbin (CHN)             ,1-Dec-19,2,2853
1703,Marina Matkovskaya               ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,2853
1705,Katrin Leschner                  ,L50,GER,Collalbo (ITA)           ,24-Jan-20,2,2858
1706,Andrea Gnandt                    ,LC2,ROU,Zakopane (POL)           ,20-Dec-19,2,2859
1707,Yuliya Minchakova                ,LC2,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,286
1708,Malika Sattarova                 ,LB1,KAZ,Nur-Sultan (KAZ)         ,4-Feb-20,2,2861
1709,Meike de Jong                    ,LSA,NED,Nijmegen (NED)           ,2-Nov-19,2,2863
1710,Yuliya Bakirova                  ,LB2,RUS,Chelyabinsk (RUS)        ,8-Oct-19,2,2864
1711,Amber Kuijs                      ,LA2,NED,Alkmaar (NED)            ,1-Feb-20,2,2865
1711,Adéla Krejčová                   ,LYB,CZE,Inzell (GER)             ,15-Feb-20,2,2865
1713,Anastasiya Khirina               ,LC1,RUS,Kolomna (RUS)            ,4-Feb-20,2,2867
1713,Yua Shinohara                    ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,2867
1715,Anastasiya Ivanova (2003)        ,LB2,RUS,Moscow (RUS)             ,5-Nov-19,2,287
1716,Anita Smit-Groot                 ,L55,NED,Heerenveen (NED)         ,23-Nov-19,2,2872
1717,Won-Jee Lee                      ,LC2,KOR,Seoul (KOR)              ,15-Jan-20,2,2873
1717,Misaki Maehama                   ,L? ,JPN,Obihiro (JPN)            ,18-Jan-20,2,2873
1719,Yuzu Ichiba                      ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,2874
1720,Yu Chen                          ,L? ,CHN,Harbin (CHN)             ,16-Nov-19,2,2875
1720,Emily Wood                       ,LB1,CAN,Calgary (CAN)            ,3-Jan-20,2,2875
1722,Aiko Itsukaichi                  ,L? ,JPN,Morioka (JPN)            ,4-Jan-20,2,2877
1723,Famke Gerritsen                  ,LA2,NED,Haarlem (NED)            ,8-Feb-20,2,2878
1724,Ayumu Tsukada                    ,L? ,JPN,Obihiro (JPN)            ,23-Nov-19,2,2879
1724,Matilde De Bettin                ,LC2,ITA,Collalbo (ITA)           ,9-Feb-20,2,2879
1726,Olga Dziuba                      ,LB1,POL,Tomaszów-Mazowiecki (POL),14-Dec-19,2,2881
1727,Viktoriya Sorokina (2005)        ,LC2,RUS,Chelyabinsk (RUS)        ,29-Nov-19,2,2883
1728,Annemee Gerritsen                ,LN3,NED,Utrecht (NED)            ,8-Mar-20,2,2887
1728,Volha Tatarenka                  ,LB2,BLR,Minsk (BLR)              ,13-Mar-20,2,2887
1730,Martyna Paluch                   ,LC1,POL,Tomaszów-Mazowiecki (POL),9-Nov-19,2,2888
1731,Qi Zhu                           ,LB1,CHN,Changchun (CHN)          ,22-Sep-19,2,289
1731,Suzuho Terashima                 ,L? ,JPN,Sapporo (JPN)            ,16-Feb-20,2,289
1733,Patricia Johannessen             ,LB1,NOR,Hamar (NOR)              ,7-Mar-20,2,2893
1734,Danique Dellink                  ,LN1,NED,Nijmegen (NED)           ,8-Mar-20,2,2894
1735,Rosa Buijs                       ,LC2,NED,Den Haag (NED)           ,2-Feb-20,2,2895
1736,Sanne Veenboer                   ,LSA,NED,Alkmaar (NED)            ,24-Nov-19,2,2897
1737,Moa Fundell                      ,LN2,SWE,Västerås (SWE)           ,14-Dec-19,2,2898
1737,Ye-Bin Ki                        ,LC2,KOR,Seoul (KOR)              ,17-Jan-20,2,2898
1739,Natalia Napłoszek                ,LC1,POL,Inzell (GER)             ,23-Feb-20,2,29
1739,Anastasiya Vesnyanaya            ,LB2,RUS,Chelyabinsk (RUS)        ,4-Mar-20,2,29
1741,Shuang Zhang (3)                 ,L? ,CHN,Harbin (CHN)             ,16-Nov-19,2,2902
1741,Angelina Stennikova              ,LC1,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,2902
1741,Tessa Roeven                     ,LN2,NED,Heerenveen (NED)         ,29-Feb-20,2,2902
1744,Barb Johnson                     ,L65,USA,Milwaukee (USA)          ,27-Oct-19,2,2903
1745,Gerbrich de Haan                 ,LC1,NED,Heerenveen (NED)         ,9-Dec-19,2,2905
1745,Arianna Tomasini                 ,LB1,ITA,Heerenveen (NED)         ,28-Feb-20,2,2905
1747,Tes Leferink                     ,LYA,NED,Deventer (NED)           ,7-Mar-20,2,2906
1748,Monika Macháčková                ,LYA,CZE,Inzell (GER)             ,5-Jan-20,2,2907
1749,Lettie Zwanenburg                ,L60,NED,Collalbo (ITA)           ,24-Jan-20,2,291
1750,Kristy Ton                       ,LC2,NED,Heerenveen (NED)         ,9-Mar-20,2,2911
1751,Lyubov Vorobeva                  ,LC1,RUS,Chelyabinsk (RUS)        ,29-Nov-19,2,2913
1752,Mia Luise Ahnert                 ,LC2,GER,Erfurt (GER)             ,21-Dec-19,2,2914
1753,Sakina Wada                      ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,2922
1754,Martina Vanetti                  ,LC2,ITA,Collalbo (ITA)           ,9-Feb-20,2,2923
1755,Åse Marie Dahn                   ,LC1,NOR,Bjugn (NOR)              ,15-Feb-20,2,2926
1756,Saya Sasaki (2)                  ,L? ,JPN,Hachinohe-Nagane (JPN)   ,30-Nov-19,2,2933
1756,Evgeniya Gabdulbarova            ,L? ,KAZ,Nur-Sultan (KAZ)         ,19-Dec-19,2,2933
1756,Mandy Duynisveld                 ,LSA,NED,Den Haag (NED)           ,23-Feb-20,2,2933
1759,Ciska de Ree                     ,L30,NED,Haarlem (NED)            ,8-Mar-20,2,2934
1760,Kathrine Haug                    ,LN2,NOR,Hamar (NOR)              ,30-Nov-19,2,2935
1760,Ulyana Bagmet                    ,LB2,RUS,Olenegorsk (RUS)         ,6-Feb-20,2,2935
1762,Seo-Yeon Yun                     ,LYA,KOR,Seoul (KOR)              ,12-Dec-19,2,2939
1763,Ho-Yeon Choi                     ,LYA,KOR,Seoul (KOR)              ,12-Dec-19,2,294
1763,Iris Meerhoff                    ,LN4,NED,Haarlem (NED)            ,8-Mar-20,2,294
1765,Carolien Bosch-Oudshoorn         ,L30,NED,Groningen (NED)          ,2-Nov-19,2,2941
1766,Ellis van Halteren               ,LC1,NED,Enschede (NED)           ,22-Feb-20,2,2943
1767,Hedri Vrieling                   ,L50,NED,Leeuwarden (NED)         ,25-Jan-20,2,2944
1767,Tindra Jansson Westman           ,LC2,SWE,Heerenveen (NED)         ,29-Feb-20,2,2944
1769,Lilli Richter                    ,LB1,GER,Inzell (GER)             ,10-Nov-19,2,2951
1770,Nyka van der Veen                ,LC1,NED,Heerenveen (NED)         ,23-Feb-20,2,2952
1771,Xin Li (2003)                    ,LB1,CHN,Harbin (CHN)             ,16-Nov-19,2,2953
1771,Clara Forslund                   ,LA2,SWE,Hamar (NOR)              ,30-Nov-19,2,2953
1773,Karin van der Sar                ,L45,NED,Heerenveen (NED)         ,23-Nov-19,2,2955
1774,Elizaveta Skoromkina             ,LB1,RUS,Omsk (RUS)               ,6-Feb-20,2,2957
1775,Melanie Segata                   ,LC2,ITA,Baselga di Pinè (ITA)    ,10-Nov-19,2,2966
1775,Noor Hettinga                    ,LB1,NED,Leeuwarden (NED)         ,22-Dec-19,2,2966
1777,Alicia van der Tempel            ,LC1,NED,Heerenveen (NED)         ,24-Feb-20,2,2967
1778,Olga Chernyaeva                  ,LB2,RUS,Moscow (RUS)             ,25-Jan-20,2,2971
1779,Valeriya Voronczova              ,LC1,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,2972
1780,Veronika Strugova                ,LC1,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,2973
1781,Jasmin van der Terp              ,LC1,NED,Heerenveen (NED)         ,18-Nov-19,2,2975
1781,Hinaka Kunii                     ,L? ,JPN,Obihiro (JPN)            ,7-Dec-19,2,2975
1781,Suus Akerboom                    ,LB2,NED,Heerenveen (NED)         ,11-Dec-19,2,2975
1784,Miho Honma                       ,L? ,JPN,Ikaho (JPN)              ,6-Feb-20,2,2977
1784,Amy ten Berge                    ,LA2,NED,Enschede (NED)           ,8-Mar-20,2,2977
1786,Anne Fenna Veuger                ,LB1,NED,Heerenveen (NED)         ,18-Nov-19,2,2982
1787,Vanessa Mazzoleni Ferracini      ,LB1,ITA,Collalbo (ITA)           ,8-Dec-19,2,2983
1787,Karin Matsubara                  ,L? ,JPN,Kushiro (JPN)            ,13-Jan-20,2,2983
1787,Haruka Hashidzume                ,L? ,JPN,Ikaho (JPN)              ,6-Feb-20,2,2983
1787,Jeske Hoogeboom                  ,LSA,NED,Alkmaar (NED)            ,15-Feb-20,2,2983
1791,Sofya Makeichik                  ,LB2,BLR,Minsk (BLR)              ,13-Mar-20,2,2984
1792,Xiaohan Wu                       ,L? ,CHN,Harbin (CHN)             ,4-Jan-20,2,2986
1793,Elizabeth Lazaridou              ,LC2,GER,Erfurt (GER)             ,1-Feb-20,2,2988
1794,Daniya Bazhakova                 ,L? ,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,299
1795,Magdalena Krychniak              ,L40,POL,Collalbo (ITA)           ,24-Jan-20,2,2998
1796,Quinty Breij                     ,LB1,NED,Tilburg (NED)            ,8-Mar-20,2,2999
1797,Martyna Gontek                   ,LB1,POL,Tomaszów-Mazowiecki (POL),31-Jan-20,2,3
1798,Jasmijn Egers                    ,LN1,NED,Deventer (NED)           ,10-Nov-19,2,3001
1799,Leoniek Anema                    ,LA2,NED,Heerenveen (NED)         ,2-Mar-20,2,3002
1800,Joyce van Vliet                  ,LSA,NED,Utrecht (NED)            ,28-Dec-19,2,3003
1801,Anouk Vissers                    ,LB1,NED,Heerenveen (NED)         ,23-Dec-19,2,3004
1802,Marijke Rempe                    ,LN2,NED,Utrecht (NED)            ,27-Oct-19,2,3007
1803,Jenna Sweeten                    ,L? ,USA,Salt Lake City (USA)     ,23-Nov-19,2,3008
1804,Hanna Hnatiuk                    ,LC1,UKR,Zakopane (POL)           ,20-Dec-19,2,301
1805,Femke Hayma                      ,LB2,NED,Groningen (NED)          ,23-Nov-19,2,3011
1806,Marilén Brattgjerd               ,LC1,NOR,Hamar (NOR)              ,1-Dec-19,2,3013
1806,Sofya Chulkova                   ,LB1,RUS,Kirov (RUS)              ,24-Jan-20,2,3013
1808,Pien van der Linden              ,LC1,NED,Breda (NED)              ,17-Nov-19,2,3014
1809,Anastasiya Guseva (2003)         ,LB2,RUS,Chelyabinsk (RUS)        ,23-Oct-19,2,3022
1810,Irina Kondakova                  ,LC1,RUS,Kolomna (RUS)            ,7-Mar-20,2,3023
1811,Roos Meijer                      ,LC1,NED,Heerenveen (NED)         ,23-Dec-19,2,3026
1811,Sveva Mazzoleni Ferracini        ,LB1,ITA,Inzell (GER)             ,1-Feb-20,2,3026
1813,Helene Flattum Hamming           ,LA2,NOR,Hamar (NOR)              ,11-Jan-20,2,3031
1814,Anke Weerts                      ,LSA,NED,Eindhoven (NED)          ,8-Dec-19,2,3034
1815,Aleksandra MIkhaleva             ,LC2,RUS,Chelyabinsk (RUS)        ,22-Aug-19,2,3038
1815,Yinghua Zhao                     ,LB1,CHN,Changchun (CHN)          ,22-Sep-19,2,3038
1817,Karina Sedegova                  ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,3039
1818,Emily Plozicki                   ,LC2,NOR,Hamar (NOR)              ,7-Mar-20,2,3042
1818,Yvonne Simis                     ,L45,NED,Amsterdam (NED)          ,8-Mar-20,2,3042
1818,Anastasiya Kropanina             ,LC1,RUS,Chelyabinsk (RUS)        ,11-Mar-20,2,3042
1821,Jessy van der Hoorn              ,LA2,NED,Heerenveen (NED)         ,11-Dec-19,2,3043
1821,Nonoka Ikuta                     ,L? ,JPN,Karuizawa (JPN)          ,8-Feb-20,2,3043
1823,Ruilin Zhou                      ,L? ,CHN,Harbin (CHN)             ,7-Dec-19,2,3046
1824,Kiki van Schaik                  ,LC2,NED,Den Haag (NED)           ,22-Dec-19,2,3047
1825,Lisanne van der Werf             ,LSA,NED,Heerenveen (NED)         ,29-Feb-20,2,3049
1826,Vera op den Brouw                ,LC2,NED,Den Haag (NED)           ,2-Feb-20,2,3053
1827,Nienke Haaring                   ,LA1,NED,Den Haag (NED)           ,27-Oct-19,2,306
1827,Fietje van Bochove               ,LSA,NED,Leeuwarden (NED)         ,4-Jan-20,2,306
1827,Viktoriya Bedrina                ,LC2,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,306
1830,Olga Zhilina                     ,LB2,RUS,Saint Petersburg (RUS)   ,28-Jan-20,2,3064
1831,Rianne Coljé                     ,LA1,NED,Inzell (GER)             ,22-Oct-19,2,3066
1832,Adelina Eremeeva                 ,LB2,RUS,Kolomna (RUS)            ,5-Nov-19,2,3069
1833,Yana Gaibova                     ,LC1,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,3071
1834,Ulrike Weerman                   ,LSA,NED,Heerenveen (NED)         ,20-Jan-20,2,3073
1834,Dina Tishkina                    ,LB1,RUS,Chelyabinsk (RUS)        ,4-Mar-20,2,3073
1836,Guro Bergstrøm                   ,LSA,NOR,Hamar (NOR)              ,30-Nov-19,2,3079
1837,Lotte de Bock                    ,LC1,NED,Haarlem (NED)            ,29-Feb-20,2,308
1838,Andrina Weerman                  ,LN4,NED,Heerenveen (NED)         ,9-Dec-19,2,3084
1839,Gundi Pawasserat                 ,L55,GER,Erfurt (GER)             ,7-Dec-19,2,3085
1840,Claudia Massara                  ,LN4,ITA,Baselga di Pinè (ITA)    ,26-Jan-20,2,3086
1840,Floor Hoevers                    ,LN2,NED,Heerenveen (NED)         ,29-Feb-20,2,3086
1842,Geneviève Provencher             ,L45,CAN,Innsbruck (AUT)          ,17-Jan-20,2,3087
1843,Hinata Monda                     ,L? ,JPN,Tomakomai (JPN)          ,22-Feb-20,2,3088
1844,Stine Finsland                   ,LC2,NOR,Hamar (NOR)              ,1-Dec-19,2,3089
1844,Edina Szabados                   ,LB2,ROU,Inzell (GER)             ,8-Feb-20,2,3089
1844,Bo Meijer                        ,LB1,NED,Heerenveen (NED)         ,10-Mar-20,2,3089
1847,Jente Sietsma                    ,LB1,NED,Heerenveen (NED)         ,16-Dec-19,2,3091
1848,Hina Miura                       ,L? ,JPN,Hachinohe-Nagane (JPN)   ,28-Dec-19,2,3094
1849,Ana Sofia Santos                 ,LYA,COL,Salt Lake City (USA)     ,7-Mar-20,2,3095
1850,Saki Kobayashi                   ,L? ,JPN,Fujikyu (JPN)            ,21-Dec-19,2,3102
1851,Yuuna Nanbu                      ,L? ,JPN,Sapporo (JPN)            ,16-Feb-20,2,3103
1852,Moe Yasuda                       ,L? ,JPN,Hachinohe-Nagane (JPN)   ,28-Dec-19,2,3104
1852,Sa-Rang Mo                       ,LC1,KOR,Seoul (KOR)              ,17-Jan-20,2,3104
1854,Julia Groeneveld                 ,LC1,NED,Haarlem (NED)            ,29-Feb-20,2,3106
1855,Disa Arnell                      ,LB2,SWE,Hamar (NOR)              ,29-Dec-19,2,3107
1856,Else Merethe Omsland             ,LSA,NOR,Hamar (NOR)              ,3-Nov-19,2,3108
1857,Daria Vogt                       ,LB1,CAN,Lake Placid (USA)        ,1-Mar-20,2,311
1857,Rolien Schepers-de Groot         ,L40,NED,Enschede (NED)           ,8-Mar-20,2,311
1859,Natsuki Yokoyama                 ,L? ,JPN,Obihiro (JPN)            ,7-Dec-19,2,3112
1860,Roza Muratova                    ,LB2,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,3119
1861,Melanie Kirsten                  ,LA1,ITA,Collalbo (ITA)           ,8-Feb-20,2,3123
1862,Emma vander Lied                 ,LB1,NED,Heerenveen (NED)         ,8-Feb-20,2,3124
1863,Myrthe de Reus                   ,LC2,NED,Heerenveen (NED)         ,7-Dec-19,2,3129
1863,Florine Hehewerth                ,LA1,NED,Breda (NED)              ,18-Jan-20,2,3129
1865,Milou van Leeuwen                ,LB2,NED,Haarlem (NED)            ,5-Jan-20,2,313
1865,Svetlana MIkhajlenko             ,LC2,RUS,Chelyabinsk (RUS)        ,4-Mar-20,2,313
1867,Margarita Melenteva              ,LC2,RUS,Chelyabinsk (RUS)        ,23-Oct-19,2,3132
1867,Diana Mingaleeva                 ,LB2,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,3132
1869,Marianne de Neeling              ,L60,NED,Heerenveen (NED)         ,10-Mar-20,2,3134
1870,Riko Nirasawa                    ,L? ,JPN,Obihiro (JPN)            ,12-Oct-19,2,3135
1871,Yaelle Vleugel                   ,LSA,NED,Heerenveen (NED)         ,7-Dec-19,2,3136
1872,Annemiek van den Heuvel          ,LB2,NED,Heerenveen (NED)         ,23-Feb-20,2,3137
1873,Megan Hoogland                   ,LN1,NED,Alkmaar (NED)            ,1-Feb-20,2,3138
1873,Anne Bult                        ,L35,NED,Enschede (NED)           ,7-Mar-20,2,3138
