rank,name,age,country,time,track,date
22,Karolina Bosiek                  ,LN1,POL," 1.55,02",Salt Lake City (USA)     ,2/16/2020
23,Abigail McCluskey                ,LN4,CAN," 1.55,19",Salt Lake City (USA)     ,2/16/2020
24,Marina Zueva                     ,LSA,BLR," 1.55,25",Salt Lake City (USA)     ,2/16/2020
24,Kimi Goetz                       ,LSA,USA," 1.55,25",Salt Lake City (USA)     ,2/16/2020
26,Sanneke de Neeling               ,LSA,NED," 1.55,34",Calgary (CAN)            ,2/8/2020
27,Qi Yin                           ,LSA,CHN," 1.55,49",Salt Lake City (USA)     ,2/16/2020
28,Mia Kilburg-Manganello           ,L30,USA," 1.55,63",Calgary (CAN)            ,2/8/2020
29,Mei Han                          ,LN3,CHN," 1.55,71",Calgary (CAN)            ,9/21/2019
30,Valerie Maltais                  ,LSA,CAN," 1.56,00",Calgary (CAN)            ,2/8/2020
31,Noemi Bonazza                    ,LN3,ITA," 1.56,21",Calgary (CAN)            ,2/8/2020
32,Nadezhda Morozova                ,LN2,KAZ," 1.56,22",Salt Lake City (USA)     ,2/16/2020
33,Ida Njåtun                       ,LSA,NOR," 1.56,23",Calgary (CAN)            ,2/8/2020
34,Carlijn Achtereekte              ,L30,NED," 1.56,36",Heerenveen (NED)         ,12/14/2019
35,Ragne Wiklund                    ,LN1,NOR," 1.56,38",Calgary (CAN)            ,2/8/2020
36,Reina Anema                      ,LSA,NED," 1.56,43",Calgary (CAN)            ,2/1/2020
37,Natalia Voronina                 ,LSA,RUS," 1.56,68",Hamar (NOR)              ,3/1/2020
38,Béatrice Lamarche                ,LN2,CAN," 1.56,97",Calgary (CAN)            ,2/8/2020
39,Dan Li (1994)                    ,LSA,CHN," 1.57,02",Calgary (CAN)            ,8/25/2019
40,Sofie Karoline Haugen            ,LSA,NOR," 1.57,11",Calgary (CAN)            ,2/8/2020
41,Brianna Bocox                    ,LN4,USA," 1.57,17",Milwaukee (USA)          ,2/1/2020
42,Daria Kachanova                  ,LN3,RUS," 1.57,28",Kolomna (RUS)            ,11/2/2019
43,Elisa Dul                        ,LN2,NED," 1.57,40",Heerenveen (NED)         ,11/1/2019
44,Elena Sokhryakova                ,LSA,RUS," 1.57,41",Calgary (CAN)            ,2/8/2020
45,Irene Schouten                   ,LSA,NED," 1.57,51",Heerenveen (NED)         ,12/27/2019
46,Yu-Ting Huang                    ,L30,TPE," 1.57,97",Salt Lake City (USA)     ,9/21/2019
47,Jiaying Tao                      ,LSA,CHN," 1.58,00",Calgary (CAN)            ,9/21/2019
48,Xiangyu Chen                     ,LN1,CHN," 1.58,03",Calgary (CAN)            ,8/25/2019
49,Nene Sakai                       ,LSA,JPN," 1.58,06",Calgary (CAN)            ,2/1/2020
50,Femke Kok                        ,LA2,NED," 1.58,10",Inzell (GER)             ,10/13/2019
51,Isabelle van Elst                ,LN3,NED," 1.58,25",Inzell (GER)             ,10/13/2019
52,Esmee Visser                     ,LSA,NED," 1.58,26",Heerenveen (NED)         ,12/27/2019
53,Marijke Groenewoud               ,LN2,NED," 1.58,34",Heerenveen (NED)         ,1/6/2020
54,Alexa Scott                      ,LA2,CAN," 1.58,39",Calgary (CAN)            ,1/3/2020
55,Yuna Onodera                     ,LN3,JPN," 1.58,42",Calgary (CAN)            ,2/8/2020
56,Ji-Woo Park                      ,LN2,KOR," 1.58,44",Milwaukee (USA)          ,2/1/2020
57,Jiachen Hao                      ,L30,CHN," 1.58,46",Calgary (CAN)            ,8/25/2019
58,Maddison Pearman                 ,LSA,CAN," 1.58,59",Calgary (CAN)            ,1/3/2020
59,Elena Eranina                    ,LSA,RUS," 1.58,96",Kolomna (RUS)            ,10/23/2019
60,Claudia Pechstein                ,L45,GER," 1.59,00",Inzell (GER)             ,11/2/2019
61,Letitia de Jong                  ,LSA,NED," 1.59,02",Inzell (GER)             ,10/20/2019
62,Lotte van Beek                   ,LSA,NED," 1.59,07",Heerenveen (NED)         ,12/27/2019
63,Roza Blokker                     ,LSA,NED," 1.59,08",Heerenveen (NED)         ,1/26/2020
64,Esther Kiel                      ,LN4,NED," 1.59,14",Heerenveen (NED)         ,11/1/2019
65,Paige Schwartzburg               ,LSA,USA," 1.59,34",Salt Lake City (USA)     ,12/29/2019
66,Michelle Uhrig                   ,LSA,GER," 1.59,35",Inzell (GER)             ,11/10/2019
67,Kali Christ                      ,LSA,CAN," 1.59,44",Calgary (CAN)            ,2/22/2020
68,Karolina Gąsecka                 ,LN1,POL," 1.59,54",Calgary (CAN)            ,2/8/2020
69,Sanne in 't Hof                  ,LN3,NED," 1.59,67",Inzell (GER)             ,10/13/2019
70,Mareike Thum                     ,LSA,GER," 1.59,75",Salt Lake City (USA)     ,2/11/2020
71,Aveline Hijlkema                 ,LSA,NED," 1.59,78",Heerenveen (NED)         ,11/1/2019
72,Robin Groot                      ,LA2,NED," 1.59,86",Heerenveen (NED)         ,11/1/2019
73,Gioya Lancee                     ,LN2,NED," 1.59,94",Heerenveen (NED)         ,12/27/2019
74,Yuka Abe                         ,LSA,JPN," 1.59,96",Nagano (JPN)             ,12/27/2019
75,Paulien Verhaar                  ,LN1,NED," 2.00,11",Heerenveen (NED)         ,12/21/2019
76,Sumire Kikuchi                   ,LSA,JPN," 2.00,30",Nagano (JPN)             ,12/27/2019
77,Lindsey Kent                     ,LSA,CAN," 2.00,32",Calgary (CAN)            ,11/10/2019
78,Manouk van Tol                   ,LSA,NED," 2.00,42",Heerenveen (NED)         ,11/1/2019
79,Qishi Li                         ,LSA,CHN," 2.00,49",Minsk (BLR)              ,11/16/2019
80,Yang Zhou                        ,LSA,CHN," 2.00,63",Calgary (CAN)            ,9/21/2019
81,Marit Steunenberg                ,LN3,NED," 2.00,76",Heerenveen (NED)         ,12/21/2019
82,Sterre Jonkers                   ,LN2,NED," 2.00,85",Heerenveen (NED)         ,1/26/2020
83,Arisa Tsujimoto                  ,LSA,JPN," 2.01,09",Nagano (JPN)             ,2/7/2020
84,Nana Takahashi                   ,LSA,JPN," 2.01,17",Nagano (JPN)             ,12/27/2019
85,Muriël Meijer (1999)             ,LN2,NED," 2.01,34",Heerenveen (NED)         ,1/26/2020
86,Olga Graf                        ,L35,RUS," 2.01,59",Kolomna (RUS)            ,10/23/2019
87,Jutta Leerdam                    ,LN2,NED," 2.01,65",Deventer (NED)           ,10/19/2019
88,Gabrielle Jelonek                ,LA2,CAN," 2.01,71",Calgary (CAN)            ,10/12/2019
89,Aoyu Chen                        ,LC2,CHN," 2.01,86",Calgary (CAN)            ,8/25/2019
90,Yuanyuan Zhang                   ,LC2,CHN," 2.01,89",Calgary (CAN)            ,8/25/2019
91,Momoka Horikawa                  ,LB1,JPN," 2.02,01",Obihiro (JPN)            ,1/25/2020
92,Ruining Tian                     ,LN4,CHN," 2.02,03",Calgary (CAN)            ,9/21/2019
93,Myrthe de Boer                   ,LA1,NED," 2.02,12",Heerenveen (NED)         ,9/28/2019
94,Femke Beuling                    ,LN1,NED," 2.02,13",Heerenveen (NED)         ,11/17/2019
94,Anna Kovaleva                    ,LN1,BLR," 2.02,13",Calgary (CAN)            ,2/8/2020
96,Marieke Driesprong               ,LN1,NED," 2.02,16",Inzell (GER)             ,11/16/2019
97,Erin Jackson                     ,LSA,USA," 2.02,19",Salt Lake City (USA)     ,3/7/2020
98,Irina Kuznetsova (1998)          ,LN2,RUS," 2.02,23",Chelyabinsk (RUS)        ,2/13/2020
99,Moe Kitahara                     ,LN3,JPN," 2.02,33",Nagano (JPN)             ,2/7/2020
99,Merel Conijn                     ,LA1,NED," 2.02,33",Minsk (BLR)              ,2/16/2020
101,Josie Hofmann                    ,LN4,GER," 2.02,37",Inzell (GER)             ,2/29/2020
102,Ayuri Fukuoka                    ,LB2,JPN," 2.02,43",Nagano (JPN)             ,12/18/2019
103,Helga Drost                      ,LN2,NED," 2.02,47",Inzell (GER)             ,10/13/2019
104,Victoria Stirnemann              ,LA1,GER," 2.02,51",Erfurt (GER)             ,1/31/2020
105,Ellia Smeding                    ,LN3,GBR," 2.02,52",Heerenveen (NED)         ,1/10/2020
106,Evelien Vijn                     ,LB2,NED," 2.02,64",Inzell (GER)             ,12/21/2019
107,Nadja Wenger                     ,LSA,SUI," 2.02,70",Salt Lake City (USA)     ,3/7/2020
108,Jiarong Zhou                     ,LC2,CHN," 2.02,71",Calgary (CAN)            ,8/25/2019
109,Leila Meijer                     ,LA1,NED," 2.02,75",Heerenveen (NED)         ,2/16/2020
110,Maki Tsuji                       ,L35,JPN," 2.02,76",Hachinohe-Nagane (JPN)   ,10/27/2019
111,Binyu Yang                       ,LB2,CHN," 2.02,78",Calgary (CAN)            ,9/21/2019
111,Yang Song                        ,LSA,CHN," 2.02,78",Hailar (CHN)             ,10/27/2019
113,Lemi Williamson                  ,LN1,JPN," 2.02,82",Nagano (JPN)             ,2/7/2020
114,Roos Markus                      ,LA2,NED," 2.02,84",Heerenveen (NED)         ,1/26/2020
115,Saskia Alusalu                   ,LSA,EST," 2.02,86",Inzell (GER)             ,10/20/2019
116,Kristina Grumand                 ,LSA,RUS," 2.02,89",Kolomna (RUS)            ,10/23/2019
117,Chloé Hoogendoorn                ,LB1,NED," 2.02,92",Heerenveen (NED)         ,2/29/2020
118,Kim Talsma                       ,LA2,NED," 2.02,98",Enschede (NED)           ,2/1/2020
119,Tatsiana Mikhailava (1987)       ,L30,BLR," 2.03,13",Kolomna (RUS)            ,10/23/2019
120,Li Cheng                         ,LA2,CHN," 2.03,15",Calgary (CAN)            ,9/21/2019
121,Ekaterina Kosheleva              ,LN1,RUS," 2.03,22",Moscow (RUS)             ,3/5/2020
122,Yuna Yoshimura                   ,LN1,JPN," 2.03,26",Hachinohe-Nagane (JPN)   ,2/16/2020
123,Ahenar Adake                     ,LN2,CHN," 2.03,27",Calgary (CAN)            ,9/14/2019
124,Anna Bourgeois                   ,LN1,CAN," 2.03,29",Calgary (CAN)            ,1/3/2020
125,Dongxue Xi                       ,LN2,CHN," 2.03,30",Salt Lake City (USA)     ,9/1/2019
126,Natálie Kerschbaummayr           ,LN3,CZE," 2.03,39",Inzell (GER)             ,11/10/2019
127,Lea-Sophie Scholz                ,LN2,GER," 2.03,41",Inzell (GER)             ,11/10/2019
128,Dessie Weigel                    ,LSA,USA," 2.03,43",Salt Lake City (USA)     ,3/7/2020
129,Yulin Huang                      ,LB2,CHN," 2.03,45",Calgary (CAN)            ,8/25/2019
129,Elizaveta Agafoshina             ,LA2,RUS," 2.03,45",Moscow (RUS)             ,11/5/2019
131,Marrit Fledderus                 ,LA2,NED," 2.03,46",Inzell (GER)             ,1/5/2020
131,Suzuka Miyagawa                  ,LB2,JPN," 2.03,46",Nagano (JPN)             ,2/7/2020
133,Naomi van der Werf               ,LN2,NED," 2.03,47",Heerenveen (NED)         ,11/1/2019
134,Yoon-Ji Kim                      ,LB2,KOR," 2.03,50",Calgary (CAN)            ,9/21/2019
135,Ariane Smit                      ,LN4,NED," 2.03,51",Heerenveen (NED)         ,1/26/2020
136,Veronika Suslova                 ,LN3,RUS," 2.03,52",Kolomna (RUS)            ,10/11/2019
137,Giorgia Birkeland                ,LA1,USA," 2.03,53",Salt Lake City (USA)     ,3/7/2020
138,Bo-Reum Kim                      ,LSA,KOR," 2.03,57",Seoul (KOR)              ,12/27/2019
139,Maho Karai                       ,LN1,JPN," 2.03,58",Hachinohe-Nagane (JPN)   ,2/16/2020
140,Ekaterina Sloeva                 ,LN2,BLR," 2.03,63",Minsk (BLR)              ,2/29/2020
141,Bianca Stănică                   ,LN3,ROU," 2.03,64",Inzell (GER)             ,2/8/2020
142,Rio Yamada                       ,LN3,JPN," 2.03,65",Hachinohe-Nagane (JPN)   ,10/27/2019
143,Heather McLean                   ,LSA,CAN," 2.03,73",Calgary (CAN)            ,10/20/2019
144,Rin Kosaka                       ,LA1,JPN," 2.03,74",Obihiro (JPN)            ,9/8/2019
145,Eline Jansen (2002)              ,LA1,NED," 2.03,77",Heerenveen (NED)         ,12/21/2019
146,Hanna Nifantava                  ,LN1,BLR," 2.03,78",Inzell (GER)             ,10/13/2019
147,Laura Gomez                      ,LSA,COL," 2.03,82",Salt Lake City (USA)     ,3/7/2020
148,Yunyuan Li                       ,LSA,CHN," 2.03,92",Hailar (CHN)             ,10/27/2019
149,Yuuka Tomita                     ,L? ,JPN," 2.03,94",Nagano (JPN)             ,12/27/2019
150,Marte Bjerkreim Furnée           ,LA2,NOR," 2.03,96",Heerenveen (NED)         ,3/1/2020
151,Marie Sawajiri                   ,LN3,JPN," 2.03,97",Obihiro (JPN)            ,11/17/2019
152,Kanako Iijima                    ,LN3,JPN," 2.04,05",Obihiro (JPN)            ,9/8/2019
153,Yuka Takahashi                   ,LA1,JPN," 2.04,06",Obihiro (JPN)            ,2/22/2020
154,Ophélie Juneau                   ,LN1,CAN," 2.04,07",Calgary (CAN)            ,1/3/2020
154,Lilit Garibyan                   ,LB1,RUS," 2.04,07",Kolomna (RUS)            ,2/21/2020
156,Emelie Vogelsang                 ,LB1,GER," 2.04,11",Heerenveen (NED)         ,2/29/2020
157,Anna Chernova (1992)             ,LSA,RUS," 2.04,13",Kolomna (RUS)            ,10/23/2019
158,Akari Hori-Shimizu               ,LN2,JPN," 2.04,14",Nagano (JPN)             ,2/7/2020
158,Misaki Shinno                    ,LB1,JPN," 2.04,14",Obihiro (JPN)            ,2/22/2020
160,Bente Kerkhoff                   ,LA1,NED," 2.04,16",Heerenveen (NED)         ,10/5/2019
161,Xue Zhan                         ,LSA,CHN," 2.04,19",Hailar (CHN)             ,10/27/2019
162,Stien Vanhoutte                  ,LSA,BEL," 2.04,20",Inzell (GER)             ,11/10/2019
163,Anastasiya Grigoreva (2001)      ,LA2,RUS," 2.04,22",Moscow (RUS)             ,11/5/2019
164,Cho-Won Park                     ,LN4,KOR," 2.04,23",Calgary (CAN)            ,9/21/2019
165,Anna Ostlender                   ,LA1,GER," 2.04,26",Inzell (GER)             ,2/29/2020
166,Naomi Verkerk                    ,LN1,NED," 2.04,31",Heerenveen (NED)         ,9/29/2019
167,Sandrine Tas                     ,LSA,BEL," 2.04,33",Inzell (GER)             ,10/6/2019
167,Yueyue Wang                      ,LN4,CHN," 2.04,33",Hailar (CHN)             ,10/27/2019
169,Ineke Dedden                     ,LSA,NED," 2.04,36",Heerenveen (NED)         ,12/1/2019
170,Anna Suzuki                      ,LN2,JPN," 2.04,37",Nagano (JPN)             ,12/27/2019
171,Famke Minnee                     ,LA1,NED," 2.04,39",Heerenveen (NED)         ,12/8/2019
172,Chae-Weon Park                   ,LB2,KOR," 2.04,40",Enschede (NED)           ,11/24/2019
173,Marit Fjellanger Bøhm            ,L30,NOR," 2.04,44",Stavanger (NOR)          ,10/26/2019
174,Sijia Chen (2005)                ,LC2,CHN," 2.04,45",Calgary (CAN)            ,8/25/2019
175,Soo-Min Kang                     ,LB1,KOR," 2.04,47",Minsk (BLR)              ,2/16/2020
176,Towako Nagasaki                  ,LA2,JPN," 2.04,59",Obihiro (JPN)            ,9/8/2019
177,Irina Arshinova                  ,L30,RUS," 2.04,61",Kolomna (RUS)            ,11/2/2019
178,Eline van Voorden                ,LA2,NED," 2.04,66",Heerenveen (NED)         ,9/28/2019
179,Yeugeniya Vorobyova              ,LN3,BLR," 2.04,72",Inzell (GER)             ,10/13/2019
180,Kyouko Nitta                     ,LN3,JPN," 2.04,73",Obihiro (JPN)            ,11/17/2019
180,Maki Tabata                      ,L45,JPN," 2.04,73",Nagano (JPN)             ,12/27/2019
182,Lilan Jin                        ,LN3,CHN," 2.04,76",Hailar (CHN)             ,10/27/2019
183,Tsukushi Takigami                ,L? ,JPN," 2.04,80",Obihiro (JPN)            ,9/8/2019
183,Jamie Jurak                      ,LSA,USA," 2.04,80",Salt Lake City (USA)     ,3/7/2020
185,Véronique Déry                   ,LN2,CAN," 2.04,81",Calgary (CAN)            ,1/3/2020
186,Dieuwertje van Kalken            ,LN2,NED," 2.04,85",Heerenveen (NED)         ,10/5/2019
187,Ramona Härdi                     ,LN4,SUI," 2.04,92",Salt Lake City (USA)     ,3/7/2020
188,Mariya Myagkova                  ,LB2,RUS," 2.04,97",Kolomna (RUS)            ,2/21/2020
189,Manami Momose                    ,LA2,JPN," 2.05,01",Nagano (JPN)             ,2/7/2020
190,Sol Lee                          ,LB1,KOR," 2.05,02",Calgary (CAN)            ,9/21/2019
190,Alison Desmarais                 ,LN4,CAN," 2.05,02",Calgary (CAN)            ,2/1/2020
192,Sishan Li                        ,LN4,CHN," 2.05,04",Hailar (CHN)             ,10/27/2019
193,Karin Suzuki                     ,L? ,JPN," 2.05,05",Nagano (JPN)             ,2/3/2020
194,Olga Kaczmarek                   ,LN1,POL," 2.05,07",Inzell (GER)             ,10/13/2019
195,Akari Yazawa                     ,L? ,JPN," 2.05,10",Nagano (JPN)             ,12/18/2019
196,Hyun-Yung Kim                    ,LSA,KOR," 2.05,11",Calgary (CAN)            ,9/14/2019
197,Meghan Wystrichowski             ,LA1,GER," 2.05,12",Erfurt (GER)             ,1/31/2020
197,Jildou Schaaf                    ,LB1,NED," 2.05,12",Heerenveen (NED)         ,2/29/2020
199,Kokoro Morino                    ,L? ,JPN," 2.05,13",Obihiro (JPN)            ,1/25/2020
200,Kotone Fukuda                    ,LA1,JPN," 2.05,14",Obihiro (JPN)            ,11/17/2019
200,Sandra Dekker                    ,LN2,NED," 2.05,14",Heerenveen (NED)         ,11/30/2019
202,Ane By Farstad                   ,LN1,NOR," 2.05,15",Inzell (GER)             ,1/5/2020
203,Linda Rossi                      ,LN3,ITA," 2.05,17",Minsk (BLR)              ,2/16/2020
203,Lyudmila Mitrofanova             ,LB2,RUS," 2.05,17",Kolomna (RUS)            ,2/21/2020
205,Jingyi Wang                      ,LB2,CHN," 2.05,19",Hailar (CHN)             ,10/27/2019
206,Alexandra Ianculescu             ,LSA,ROU," 2.05,20",Calgary (CAN)            ,1/3/2020
207,Sanne Westra                     ,LB2,NED," 2.05,21",Heerenveen (NED)         ,3/9/2020
208,Aleksandra Kravchenko            ,LA1,RUS," 2.05,23",Moscow (RUS)             ,11/5/2019
208,Sana Fujii                       ,LA2,JPN," 2.05,23",Nagano (JPN)             ,2/7/2020
210,Chrysta Rands                    ,LN4,USA," 2.05,24",Salt Lake City (USA)     ,12/29/2019
211,Camilla Lund                     ,LSA,NOR," 2.05,27",Stavanger (NOR)          ,2/22/2020
212,Valeriya Sorokoletova            ,LB1,RUS," 2.05,28",Kolomna (RUS)            ,2/21/2020
213,Emmanuelle Côté                  ,LA2,CAN," 2.05,30",Calgary (CAN)            ,1/3/2020
214,Alisa Bekker                     ,LB2,RUS," 2.05,33",Kolomna (RUS)            ,2/21/2020
215,Hilde Noppert                    ,LA2,NED," 2.05,35",Heerenveen (NED)         ,2/10/2020
216,Yining Zhao                      ,LN2,CHN," 2.05,39",Changchun (CHN)          ,9/22/2019
217,Natalia Jabrzyk                  ,LA2,POL," 2.05,40",Enschede (NED)           ,11/24/2019
218,Raluca Doina Ştef                ,LSA,ROU," 2.05,42",Inzell (GER)             ,2/8/2020
218,Sophie Kraaijeveld               ,LB1,NED," 2.05,42",Heerenveen (NED)         ,2/29/2020
220,Dan Wu                           ,LSA,CHN," 2.05,45",Changchun (CHN)          ,11/10/2019
221,Sakura Mito                      ,LB1,JPN," 2.05,48",Obihiro (JPN)            ,12/7/2019
222,Aleksandra Rutkovskaya           ,LA1,RUS," 2.05,52",Kolomna (RUS)            ,3/7/2020
223,Mariyia Krotava                  ,LSA,BLR," 2.05,55",Inzell (GER)             ,10/20/2019
223,Maaike Verweij                   ,LA2,NED," 2.05,55",Heerenveen (NED)         ,12/9/2019
225,Emika Miyagawa                   ,L? ,JPN," 2.05,60",Nagano (JPN)             ,2/3/2020
226,Cassidy Peterson                 ,LN2,CAN," 2.05,61",Calgary (CAN)            ,1/3/2020
227,Mihaela Hogaş                    ,LN2,ROU," 2.05,62",Inzell (GER)             ,10/13/2019
228,Britt de Boer                    ,LN2,NED," 2.05,66",Heerenveen (NED)         ,12/8/2019
228,Dan Guo                          ,LSA,CHN," 2.05,66",Inzell (GER)             ,12/14/2019
230,Gemma Cooper                     ,L30,GBR," 2.05,67",Inzell (GER)             ,2/29/2020
231,Kasumi Maenaka                   ,L? ,JPN," 2.05,69",Hachinohe-Nagane (JPN)   ,2/8/2020
232,Ashley Hannah                    ,LN2,CAN," 2.05,80",Calgary (CAN)            ,11/10/2019
232,Pien Smit                        ,LB1,NED," 2.05,80",Inzell (GER)             ,12/21/2019
234,Darya Beskrovnykh                ,LSA,RUS," 2.05,83",Kolomna (RUS)            ,11/2/2019
235,Moeka Yazaki                     ,L? ,JPN," 2.05,85",Nagano (JPN)             ,2/7/2020
236,Esmé Stollenga                   ,LSA,NED," 2.05,91",Heerenveen (NED)         ,9/28/2019
237,Maud Lugters                     ,LA2,NED," 2.05,92",Heerenveen (NED)         ,10/5/2019
238,Valentina Espinosa               ,LN2,ARG," 2.05,94",Salt Lake City (USA)     ,3/7/2020
239,Junna Kubo                       ,L? ,JPN," 2.05,95",Nagano (JPN)             ,2/7/2020
240,Josephine Heimerl                ,LA2,GER," 2.05,96",Inzell (GER)             ,1/5/2020
241,Diede van Oorschot               ,LB1,NED," 2.05,98",Heerenveen (NED)         ,2/29/2020
242,Irina Slesareva                  ,LA1,RUS," 2.06,03",Tomaszów-Mazowiecki (POL),2/21/2020
243,Honoka Kumagai                   ,L? ,JPN," 2.06,05",Obihiro (JPN)            ,9/8/2019
243,Azusa Osano                      ,L? ,JPN," 2.06,05",Obihiro (JPN)            ,11/17/2019
245,Evi Gelling                      ,LB2,NED," 2.06,06",Heerenveen (NED)         ,2/28/2020
246,Amalie Haugland                  ,LB1,NOR," 2.06,08",Heerenveen (NED)         ,2/29/2020
247,Yui Fujimori                     ,LN1,JPN," 2.06,09",Obihiro (JPN)            ,11/17/2019
248,Polina Chesnokova                ,LB2,RUS," 2.06,11",Kolomna (RUS)            ,2/21/2020
249,Darya Filippova (1996)           ,LSA,RUS," 2.06,12",Kolomna (RUS)            ,10/11/2019
250,Jie Yang                         ,LN2,CHN," 2.06,13",Hailar (CHN)             ,10/27/2019
251,Tessa Boogaard                   ,LSA,NED," 2.06,15",Leeuwarden (NED)         ,12/22/2019
252,Minami Miyajima                  ,LN4,JPN," 2.06,18",Obihiro (JPN)            ,11/2/2019
253,Natalya Zhidkova (2000)          ,LN1,RUS," 2.06,23",Kolomna (RUS)            ,12/28/2019
254,Minami Ooiwa                     ,L? ,JPN," 2.06,24",Hachinohe-Nagane (JPN)   ,2/8/2020
255,Karuna Koyama                    ,LN1,JPN," 2.06,25",Nagano (JPN)             ,12/27/2019
256,Wenjing Ma                       ,LN2,CHN," 2.06,29",Hailar (CHN)             ,10/27/2019
257,Rui Onodera                      ,L? ,JPN," 2.06,30",Nagano (JPN)             ,2/7/2020
258,Huiyan Fang                      ,LN1,CHN," 2.06,33",Changchun (CHN)          ,11/10/2019
259,Emma Engbers                     ,LSA,NED," 2.06,34",Heerenveen (NED)         ,3/2/2020
260,Leming Li                        ,LA2,CHN," 2.06,35",Inzell (GER)             ,12/14/2019
261,Laura Hall                       ,LB2,CAN," 2.06,37",Calgary (CAN)            ,11/10/2019
262,Ekaterina Borisova               ,LC2,RUS," 2.06,39",Kolomna (RUS)            ,2/24/2020
263,Shuangshuang Wu                  ,LSA,CHN," 2.06,40",Hailar (CHN)             ,10/27/2019
263,Weiping Gan                      ,LA2,CHN," 2.06,40",Hailar (CHN)             ,10/27/2019
265,Yan Wang (2000)                  ,LN1,CHN," 2.06,43",Hailar (CHN)             ,10/27/2019
266,Anna Quinn                       ,LN1,USA," 2.06,47",Calgary (CAN)            ,11/10/2019
266,Rose-Anne Grenier                ,LN2,CAN," 2.06,47",Calgary (CAN)            ,1/3/2020
268,Anastasiya Semyonova (2004)      ,LC2,RUS," 2.06,50",Kolomna (RUS)            ,12/14/2019
268,Koto Hanaoka                     ,L? ,JPN," 2.06,50",Nagano (JPN)             ,12/27/2019
270,Federica Maffei                  ,LA2,ITA," 2.06,51",Inzell (GER)             ,10/27/2019
271,Megan Sokolov                    ,LA1,NED," 2.06,53",Heerenveen (NED)         ,11/4/2019
271,Kyouka Hosoda                    ,L? ,JPN," 2.06,53",Hachinohe-Nagane (JPN)   ,2/16/2020
273,Miku Hayashi                     ,L? ,JPN," 2.06,55",Nagano (JPN)             ,2/7/2020
274,Carina Jagtøyen                  ,LN3,NOR," 2.06,57",Inzell (GER)             ,2/29/2020
275,Leonie Bats                      ,LA1,NED," 2.06,58",Heerenveen (NED)         ,12/20/2019
276,Chiho Tsuruta                    ,LN3,JPN," 2.06,65",Nagano (JPN)             ,2/7/2020
277,Kaja Gajewska                    ,LA2,POL," 2.06,66",Enschede (NED)           ,11/24/2019
278,Nikki van der Zee                ,LN2,NED," 2.06,69",Inzell (GER)             ,2/23/2020
279,Shiqian Shao                     ,LC1,CHN," 2.06,70",Calgary (CAN)            ,8/25/2019
280,Xiaohan Sun                      ,LA2,CHN," 2.06,71",Hailar (CHN)             ,10/27/2019
281,Petra Acker                      ,LSA,USA," 2.06,73",Salt Lake City (USA)     ,3/7/2020
282,Jusi Liu                         ,LB2,CHN," 2.06,79",Hailar (CHN)             ,10/27/2019
282,Karina Akhmetova                 ,LN2,RUS," 2.06,79",Moscow (RUS)             ,1/16/2020
284,Darya Pavlova (2003)             ,LB2,RUS," 2.06,81",Kolomna (RUS)            ,12/14/2019
285,Rebecca Simmons                  ,L30,USA," 2.06,84",Salt Lake City (USA)     ,12/29/2019
286,Kseniya Kononenko                ,LB2,RUS," 2.06,86",Kolomna (RUS)            ,2/21/2020
