2019-2020 500m Ladies

  103	Min-Jo Kim                           	LN2	KOR	   39,52	Calgary (CAN)            	20 Sep 2019
  103	Stien Vanhoutte                      	LSA	BEL	   39,52	Heerenveen (NED)         	11 Jan 2020
  105	Chrysta Rands                        	LN4	USA	   39,54	Salt Lake City (USA)     	18 Jan 2020
  106	Paige Schwartzburg                   	LSA	USA	   39,55	Salt Lake City (USA)     	18 Jan 2020
  107	Blair Cruikshank                     	LA2	USA	   39,56	Salt Lake City (USA)     	6 Mar 2020
  108	Maud Lugters                         	LA2	NED	   39,57	Heerenveen (NED)         	28 Dec 2019
  109	Naomi Weeland                        	LN4	NED	   39,58	Heerenveen (NED)         	26 Jan 2020
  110	Xin Zhang (1990)                     	L30	CHN	   39,60	Hailar (CHN)             	25 Oct 2019
  111	Marit van Beijnum                    	LA2	NED	   39,61	Heerenveen (NED)         	2 Nov 2019
  111	Rino Matsukuma                       	LN2	JPN	   39,61	Nagano (JPN)             	29 Dec 2019
  113	Keira Poelzer                        	LSA	CAN	   39,63	Calgary (CAN)            	19 Oct 2019
  113	Dan Bai                              	LN4	CHN	   39,63	Hailar (CHN)             	25 Oct 2019
  113	Kotone Kito                          	L? 	JPN	   39,63	Nagano (JPN)             	28 Dec 2019
  116	Yi Qu                                	LSA	CHN	   39,64	Hailar (CHN)             	25 Oct 2019
  116	Danouk Bannink                       	LN4	NED	   39,64	Heerenveen (NED)         	2 Nov 2019
  118	Lotte van Beek                       	LSA	NED	   39,66	Inzell (GER)             	12 Oct 2019
  119	Natalia Czerwonka                    	L30	POL	   39,68	Inzell (GER)             	19 Oct 2019
  120	Seung-Heun Sin                       	LB2	KOR	   39,70	Calgary (CAN)            	20 Sep 2019
  121	Huawei Li                            	LN2	CHN	   39,72	Hailar (CHN)             	25 Oct 2019
  122	Nadezhda Aseeva                      	L30	RUS	   39,73	Kolomna (RUS)            	31 Oct 2019
  123	Xinmiao Zhang (2000)                 	LA2	CHN	   39,75	Hailar (CHN)             	25 Oct 2019
  123	Yangyang Qin                         	LN4	CHN	   39,75	Changchun (CHN)          	11 Jan 2020
  125	Lianne van Loon                      	LN1	NED	   39,78	Heerenveen (NED)         	4 Nov 2019
  126	Nan Sun                              	LN2	CHN	   39,80	Calgary (CAN)            	20 Sep 2019
  127	Yeugeniya Vorobyova                  	LN3	BLR	   39,81	Inzell (GER)             	25 Oct 2019
  128	Chae-Eun Park                        	LB2	KOR	   39,82	Calgary (CAN)            	20 Sep 2019
  128	Ayaka Matsumoto                      	L? 	JPN	   39,82	Nagano (JPN)             	9 Feb 2020
  130	Leeyen Harteveld                     	LSA	NED	   39,83	Heerenveen (NED)         	25 Jan 2020
  131	Jingyi Wang                          	LB2	CHN	   39,89	Hailar (CHN)             	25 Oct 2019
  131	Nadezhda Morozova                    	LN2	KAZ	   39,89	Nur-Sultan (KAZ)         	12 Mar 2020
  133	Suzune Usami                         	LN3	JPN	   39,93	Nagano (JPN)             	28 Dec 2019
  134	Anna Ostlender                       	LA1	GER	   39,94	Tomaszów-Mazowiecki (POL)	21 Feb 2020
  135	Shuang Li (2002)                     	LB2	CHN	   39,96	Changchun (CHN)          	20 Sep 2019
  136	Na Li (1993)                         	LSA	CHN	   39,97	Changchun (CHN)          	8 Nov 2019
  137	Min-Hui Kim (2003)                   	LB2	KOR	   39,99	Calgary (CAN)            	20 Sep 2019
  137	Carlijn Achtereekte                  	L30	NED	   39,99	Inzell (GER)             	12 Oct 2019
  137	Sophie Warmuth                       	LB2	GER	   39,99	Inzell (GER)             	21 Dec 2019
  137	Natsumi Chiba                        	LSA	JPN	   39,99	Nagano (JPN)             	9 Feb 2020
  141	Elena Eranina                        	LSA	RUS	   40,00	Inzell (GER)             	5 Oct 2019
  142	Ye-Won Nam                           	LSA	KOR	   40,02	Calgary (CAN)            	19 Sep 2019
  142	Ellia Smeding                        	LN3	GBR	   40,02	Calgary (CAN)            	22 Feb 2020
  142	Natalya Zhidkova (2000)              	LN1	RUS	   40,02	Moscow (RUS)             	3 Mar 2020
  145	Sining Yang                          	LN1	CHN	   40,04	Hailar (CHN)             	25 Oct 2019
  146	Towako Nagasaki                      	LA2	JPN	   40,05	Obihiro (JPN)            	3 Nov 2019
  147	Jiaying Tao                          	LSA	CHN	   40,08	Calgary (CAN)            	24 Aug 2019
  148	Carolane Gingras                     	LN3	CAN	   40,09	Calgary (CAN)            	18 Oct 2019
  148	Futaba Kamikado                      	LN3	JPN	   40,09	Nagano (JPN)             	29 Dec 2019
  148	Marina Avtonomova                    	LA1	RUS	   40,09	Kolomna (RUS)            	11 Jan 2020
  148	Seika Sasaki                         	LA1	JPN	   40,09	Nagano (JPN)             	9 Feb 2020
